Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Id
5,176.70671303929586,175.11994003659058,329.8222907021738,36.91032349357522,287.55526672643094,284.9833366777801,23.044499186824208,180.34511435713446,185.78581689255046,263.6252112285416,319.4634768902811,317.16864414343036,1daf45401342ac321c0aa5668f51d004.jpg
4,199.2665100455302,176.0270325910339,340.74895057528823,22.62414075572974,115.84141535729981,209.08728837840349,52.64037607239561,18.186231150155905,352.44789183245797,340.49173668267645,76.3792758909883,96.1335321812777,7e15c14f0b25766d0b7378f1d5328e99.jpg
4,274.34135224150583,245.36206095936802,350.38684306836893,35.11612403367188,180.03271240267628,184.4117064393,29.434853272120936,200.8076461097862,193.52115006054726,10.447817549473882,257.58447465984864,233.21278018928592,1dc97053cf67cb8e51c983abb0021083.jpg
0,175.728477076544,166.94724175436468,160.1630254325341,269.38832452528624,186.21537413469397,179.31686189473677,125.46311747481258,13.934119767138919,67.13401186416448,81.75784869612049,5.936876148345549,7.529691807997032,73adbf71f0adcf89c94339f6a6a92b61.jpg
1,164.16243247358878,198.8531587644191,81.82019096800272,62.821190905154054,198.61330086791213,348.3905472440915,139.17233324410893,78.55865998462914,321.57304510397347,338.25728130816015,37.11966213443438,5.578670542131516,44e1f36fcda7633399ba6181977efc37.jpg
5,205.62000189918552,209.4959183863984,164.7987629237568,193.43167505396664,109.5217302759202,113.81957851689457,1.2745857784021881,128.8707674778309,126.91756467271117,113.13142081462743,83.11712262669724,83.6332475917666,0b3066a18cafb2598146428c305980cc.jpg
5,253.36119432957372,230.44033203100548,261.04336439208805,109.4400348281762,165.1007511275641,151.29081843386155,33.69006752597979,275.8744547833838,287.49854843726183,40.91438322002513,277.95869857539464,289.4390284384567,6bc83759703dfd00dab54965aeabbcd2.jpg
2,108.46280287007777,75.67843487595776,12.694075174097406,353.76551990445876,160.25316339457387,191.71689717396066,321.48987558988114,220.21911612516803,190.76253722314246,128.8370111308844,165.96375653207352,151.05430667429388,336c1553e7c64db5d11bf57c7ecc284c.jpg
2,203.38919617974994,160.41287285865297,50.81479289555528,48.87584639616944,326.43978964328124,60.125294651413974,92.004569253687,113.59308472258054,231.47647338809435,358.3594560615874,86.68644125978476,272.6061979167009,4b93aeec59321bc1136d92d2430444b3.jpg
0,172.48690904707433,155.1484141402878,162.27735322058257,200.9063996306746,256.916770810419,259.66609887879895,2.206057947366693,107.30387377475382,105.29104992399145,261.57303097851934,139.8205980380313,140.56617519604532,70fce73871977515dfe320fb29bb47ac.jpg
1,167.7477244423841,201.2774193728622,32.680554743363395,16.96806382675748,183.9210395090908,185.96032646239956,75.89064413511733,76.23298731174913,266.0001584384925,266.06153479611163,11.120447329321355,337.19229244120703,1049d3b28539839f45dc938a1ea2fcea.jpg
4,293.684480532201,256.0081116844384,15.003142948077686,10.769443268997604,196.79343759431154,188.7543290251584,21.0089014379778,134.76847854408985,140.44337979108246,79.7452810595755,201.38516655991594,205.30215870642218,cd45ee614da4cbc849f856b470f6ab22.jpg
1,194.2928119017875,214.57006515467017,328.1262227176189,324.75871792684444,24.346560397149435,26.65731483245461,301.8174045667873,171.60970756806665,216.9021406247213,40.35968736829212,245.3800158643653,41.5383109818527,7cc52bbcdf19aaca893bb04772e9c4ca.jpg
